gameKey,seasonName,date,winner,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_MIN_M,H_MIN_S,H_UF,H_TF,H_TOM,H_EJ,H_EFF,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_MIN_M,A_MIN_S,A_UF,A_TF,A_TOM,A_EJ,A_EFF
S45G01N48,2024-2025,20241113,away,고양 소노,15,2,24,13,37,7,41,23,32,8,0,0,19,8,1,0,73,31,20,24,38,78,92,10,1,12,40.0,40.0,2400,0,0,12,0,83,울산 현대모비스,20,2,28,9,37,8,41,22,27,7,2,2,20,11,4,2,70,31,19,22,19,80,90,7,2,13,40.0,40.0,2400,0,0,9,0,91
S45G01N49,2024-2025,20241114,away,대구 한국가스공사,14,1,23,10,33,3,29,12,36,11,2,2,7,3,2,0,67,25,16,18,23,64,74,10,0,10,40.0,40.0,2400,0,0,7,0,69,원주 DB,15,2,27,14,41,9,40,20,28,7,2,2,7,4,5,5,70,29,15,15,19,69,77,5,1,13,40.0,40.0,2400,0,0,10,0,83
S45G01N50,2024-2025,20241114,away,창원 LG,18,2,25,9,34,1,35,21,33,10,0,0,8,4,4,2,68,31,19,19,27,76,76,8,0,10,40.0,40.0,2400,0,0,10,0,88,수원 KT,17,3,27,12,39,4,40,18,25,9,1,1,16,13,3,6,66,28,18,18,15,78,82,9,0,11,40.0,40.0,2400,0,0,6,0,98
S45G01N51,2024-2025,20241127,home,부산 KCC,20,3,28,9,37,2,53,27,17,6,0,0,16,12,2,2,70,33,14,14,23,84,86,3,0,5,40.0,40.0,2400,0,0,4,0,103,울산 현대모비스,20,1,27,12,39,3,49,23,26,10,1,0,7,5,6,2,76,33,20,20,22,81,83,4,2,8,40.0,40.0,2400,0,0,4,0,93
S45G01N52,2024-2025,20241127,away,창원 LG,25,1,31,12,43,1,40,19,29,11,0,0,2,2,3,0,69,30,18,20,26,73,71,4,0,16,40.0,40.0,2400,0,0,6,0,92,서울 SK,16,0,26,14,40,3,46,18,27,10,1,1,18,10,7,8,74,29,14,14,23,78,92,12,0,6,40.0,40.0,2400,0,0,14,0,90
S45G01N53,2024-2025,20241128,away,서울 삼성,18,2,24,13,37,9,36,17,22,8,0,0,21,13,3,1,58,25,18,21,24,71,79,4,3,22,40.0,40.0,2400,0,0,4,0,75,수원 KT,17,1,15,11,26,4,36,19,32,10,1,1,19,13,6,4,69,30,17,22,25,83,88,14,2,6,40.0,40.0,2400,0,0,14,0,92
S45G01N54,2024-2025,20241128,home,원주 DB,15,2,25,14,39,6,39,27,29,8,0,0,13,10,4,2,68,35,15,15,17,88,81,2,0,11,40.0,40.0,2400,0,0,9,0,105,고양 소노,20,1,17,6,23,2,30,16,35,14,0,0,7,4,1,0,65,30,19,22,23,78,72,5,0,7,40.0,40.0,2400,0,0,14,0,84
S45G01N55,2024-2025,20241129,home,서울 SK,15,2,35,10,45,2,44,18,26,7,1,0,18,12,8,7,71,25,19,21,24,69,89,8,2,11,40.0,40.0,2400,0,0,10,0,76,대구 한국가스공사,14,2,31,11,42,7,32,13,38,8,2,2,17,13,4,2,72,23,19,21,30,67,89,7,1,11,40.0,40.0,2400,0,0,12,0,74
S45G01N56,2024-2025,20241129,home,안양 정관장,26,8,40,12,52,3,38,16,38,11,3,3,18,14,3,0,79,30,19,25,29,85,97,5,2,14,45.0,45.0,2700,0,0,10,0,110,부산 KCC,22,6,34,7,41,4,38,14,33,11,1,0,23,18,3,0,72,25,18,19,18,79,95,9,0,13,45.0,45.0,2700,0,0,14,0,96
S45G01N57,2024-2025,20241130,away,수원 KT,19,1,20,13,33,5,30,13,40,13,1,1,13,6,5,4,71,27,18,20,20,73,84,7,1,12,40.0,40.0,2400,0,0,10,0,74,울산 현대모비스,21,4,25,19,44,6,44,24,27,8,2,1,17,11,8,0,73,33,19,18,23,85,90,8,2,12,40.0,40.0,2400,1,1,10,1,108
S45G01N58,2024-2025,20241130,away,고양 소노,18,2,19,14,33,5,39,19,26,9,0,0,19,13,1,2,65,28,17,17,21,78,84,2,1,9,40.0,40.0,2400,0,0,0,0,85,창원 LG,26,3,20,9,29,6,41,25,27,8,1,1,12,10,2,0,69,34,19,22,25,86,81,3,0,4,40.0,40.0,2400,0,0,7,0,112
S45G01N59,2024-2025,20241130,away,서울 삼성,14,4,28,15,43,1,36,11,32,11,0,0,14,11,3,2,68,22,19,20,30,66,82,6,0,12,40.0,40.0,2400,1,0,5,0,73,원주 DB,18,2,29,14,43,7,33,13,37,12,0,0,20,14,2,0,70,25,17,19,13,76,90,9,1,8,40.0,40.0,2400,2,0,4,0,95
S45G01N60,2024-2025,20241201,home,서울 SK,22,4,27,17,44,3,38,19,31,12,2,2,23,22,6,1,71,33,18,20,22,100,94,8,0,10,40.0,40.0,2400,0,0,20,0,132,수원 KT,11,0,19,12,31,5,35,20,33,3,0,0,16,13,3,0,68,23,19,19,22,62,84,6,1,14,40.0,40.0,2400,0,0,6,0,52
S45G01N61,2024-2025,20241201,away,고양 소노,14,0,26,7,33,3,31,13,35,12,0,0,6,5,2,0,66,25,19,20,20,67,72,6,1,10,40.0,40.0,2400,0,1,10,0,70,부산 KCC,16,2,29,9,38,6,43,18,20,7,1,1,20,15,1,0,64,26,17,17,14,74,84,3,1,9,40.0,40.0,2400,0,0,8,0,86
