gameKey,seasonName,date,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_MIN_M,H_MIN_S,H_UF,H_TF,H_TOM,H_EJ,H_EFF,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_MIN_M,A_MIN_S,A_UF,A_TF,A_TOM,A_EJ,A_EFF
S39G01N55,2021-2022,20211107,수원 KT,16,2,22,11,33,3,39,20,24,9,2,2,15,9,2,0,65,31,16,16,15,80,80,7,0,10,40.0,40.0,2400,0,0,10,0,91,전주 KCC,18,1,21,10,31,2,41,21,24,10,0,0,9,7,2,0,65,31,17,18,12,79,74,4,2,8,40.0,40.0,2400,0,0,10,0,89
S39G01N56,2021-2022,20211107,서울 SK,14,0,24,11,35,2,41,19,20,5,4,4,22,16,6,8,65,28,17,19,26,77,87,9,1,10,40.0,40.0,2400,0,0,14,0,83,안양 KGC,13,3,25,11,36,1,35,17,27,11,0,0,21,12,4,4,62,28,17,20,17,79,83,8,2,12,40.0,40.0,2400,0,0,12,0,83
S39G01N57,2021-2022,20211107,고양 오리온,29,3,27,4,31,2,39,18,24,14,0,0,19,15,9,2,63,32,16,15,22,93,82,9,1,9,40.0,40.0,2400,1,0,6,0,122,원주 DB,21,3,29,8,37,0,47,24,21,8,4,2,13,9,2,2,72,34,14,16,25,85,85,4,1,12,40.0,40.0,2400,0,0,7,0,95
S39G01N58,2021-2022,20211107,울산 현대모비스,27,6,30,8,38,3,45,27,16,3,1,1,20,13,7,2,62,31,17,18,18,78,82,9,1,9,40.0,40.0,2400,0,0,10,0,113,서울 삼성,13,2,25,10,35,6,41,22,27,4,2,2,12,7,6,2,70,28,20,22,25,67,82,4,1,11,40.0,40.0,2400,0,0,13,0,68
S39G01N59,2021-2022,20211108,창원 LG,15,3,26,18,44,2,40,18,25,10,3,3,17,9,2,2,68,31,17,18,33,81,85,5,0,10,40.0,40.0,2400,0,0,7,0,95,대구 한국가스공사,17,1,18,9,27,4,33,14,28,7,3,3,13,11,1,2,64,24,20,21,26,66,77,6,1,8,40.0,40.0,2400,0,0,7,0,70
S39G01N60,2021-2022,20211109,울산 현대모비스,18,2,15,10,25,2,41,25,18,2,2,2,26,20,7,4,61,29,16,15,28,80,87,7,0,10,40.0,40.0,2400,1,0,12,0,86,안양 KGC,24,1,22,16,38,3,44,27,28,9,1,1,13,13,3,4,73,37,17,23,21,96,86,5,0,12,40.0,40.0,2400,0,1,13,0,119
S39G01N61,2021-2022,20211110,원주 DB,14,10,30,7,37,4,46,22,13,4,1,1,14,9,7,6,60,27,16,17,24,67,74,7,0,17,40.0,40.0,2400,0,0,10,0,84,수원 KT,14,2,24,21,45,7,39,13,38,7,0,0,9,6,1,0,77,20,17,17,27,53,86,10,0,15,40.0,40.0,2400,0,0,7,0,56
S39G01N62,2021-2022,20211111,서울 삼성,19,0,26,5,31,3,38,20,26,9,1,0,10,8,4,0,65,29,19,27,25,75,75,6,0,11,40.0,40.0,2400,0,0,2,0,85,서울 SK,9,3,28,18,46,4,52,24,18,3,0,0,26,17,0,0,70,27,17,18,30,74,96,5,0,9,40.0,40.0,2400,0,0,5,0,80
S39G01N63,2021-2022,20211112,창원 LG,14,4,27,18,45,1,42,20,21,2,2,2,25,11,4,2,65,24,17,18,27,61,90,6,2,10,40.0,40.0,2400,0,0,9,0,64,울산 현대모비스,27,4,27,17,44,3,53,26,22,6,3,3,12,4,8,2,78,35,18,24,22,80,90,7,1,7,40.0,40.0,2400,0,0,12,0,106
S39G01N64,2021-2022,20211113,전주 KCC,17,3,16,12,28,5,38,20,29,6,1,1,15,10,4,0,68,27,18,19,24,70,83,5,1,7,40.0,40.0,2400,0,0,6,0,74,대구 한국가스공사,18,2,26,12,38,1,30,18,28,10,2,2,14,9,5,2,60,30,16,15,15,79,74,5,1,10,40.0,40.0,2400,1,0,12,0,97
S39G01N65,2021-2022,20211113,안양 KGC,18,2,25,10,35,1,40,26,26,9,2,2,21,13,1,0,68,37,18,19,11,96,89,12,1,9,40.0,40.0,2400,0,0,4,0,115,고양 오리온,19,2,22,6,28,4,41,22,22,9,1,1,15,11,3,0,64,32,14,18,30,84,79,6,1,14,40.0,40.0,2400,0,0,5,0,92
S39G01N66,2021-2022,20211113,원주 DB,19,3,25,9,34,5,54,22,16,6,0,0,11,5,3,0,70,28,18,18,26,67,81,5,0,9,40.0,40.0,2400,0,0,9,0,76,서울 SK,14,4,32,12,44,5,48,24,26,6,0,0,13,11,3,0,74,30,15,16,25,77,87,8,0,9,40.0,40.0,2400,0,0,6,0,97
