시즌,경기ID,누적쿼터,팀명,구분,선수명,최종승리팀(1=홈승),PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,GD,DK,TO,PF
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,전주 KCC,Away,김상규,1,7,2,5,40.0,1,2,50.0,3,7,42.9,0,0,0.0,6,2,8,0,1,1,0,0,1,1
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,전주 KCC,Away,유병훈,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,전주 KCC,Away,전준범,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,전주 KCC,Away,송교창,1,11,3,8,37.5,1,5,20.0,4,13,30.8,2,2,100.0,0,4,4,0,0,0,0,0,2,1
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,전주 KCC,Away,이진욱,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,1
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,전주 KCC,Away,유현준,1,6,0,0,0.0,2,5,40.0,2,5,40.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2-Q3-Q4,전주 KCC,Away,라타비우스 윌리엄스,1,6,3,4,75.0,0,1,0.0,3,5,60.0,0,1,0.0,2,2,4,0,1,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,고양 오리온,Home,오용준,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,고양 오리온,Home,김강선,0,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,고양 오리온,Home,최현민,0,3,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1
../kbl_data/2021-2022,S39G01N2,Q1,고양 오리온,Home,이대성,0,6,2,5,40.0,0,0,0.0,2,5,40.0,2,3,66.7,0,1,1,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,고양 오리온,Home,한호빈,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,고양 오리온,Home,최승욱,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,고양 오리온,Home,이승현,0,0,0,2,0.0,0,1,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,Q1,고양 오리온,Home,이종현,0,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,1,1,1,0,0,0,0,0,1
../kbl_data/2021-2022,S39G01N2,Q1,고양 오리온,Home,김진유,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
